ID,IPK,PROFESI PEKERJAAN,ALGORITMA DAN PEMROGRAMAN 1,ALGORITMA DAN PEMROGRAMAN 2,ALGORITMA DAN PEMROGRAMAN 3,ALGORITMA DAN PENGOLAHAN PARALEL,ALGORITMA DEEP LEARNING,ARSITEKTUR KOMPUTER,BAHASA INDONESIA,BAHASA INGGRIS 1,BAHASA INGGRIS 2,BAHASA INGGRIS BISNIS 1,BAHASA INGGRIS BISNIS 2,BISNIS INFORMATIKA,DISAIN PEMODELAN GRAFIK,FISIKA DAN KIMIA DASAR 1,FISIKA DAN KIMIA DASAR 2,FORENSIK TEKNOLOGI INFORMASI,GRAFIK KOMPUTER 1,GRAFIK KOMPUTER 2,ILMU BUDAYA DASAR,ILMU SOSIAL DASAR,INFORMATIKA KESEHATAN,INTERAKSI MANUSIA DAN KOMPUTER,JARINGAN KOMPUTER,JARINGAN KOMPUTER LANJUT,KECERDASAN BUATAN,KOMPUTASI BIG DATA,KOMPUTASI MODERN,KONSEP DATA MINING,KONSEP TEKNOLOGI INFORMASI,LEGAL ASPEK PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI,MATEMATIKA DASAR 1,MATEMATIKA DASAR 2,MATEMATIKA INFORMATIKA 1,MATEMATIKA INFORMATIKA 2,MATEMATIKA INFORMATIKA 3,MATEMATIKA INFORMATIKA 4,MATEMATIKA LANJUT 1,MATEMATIKA LANJUT 2,ORGANISASI SISTEM KOMPUTER,PEMODELAN DAN SIMULASI,PEMROGRAMAN BERBASIS OBJEK,PEMROGRAMAN JARINGAN,PEMROGRAMAN MULTIMEDIA,PEMROGRAMAN WEB,PENDIDIKAN AGAMA BUDDHA,PENDIDIKAN AGAMA HINDU,PENDIDIKAN AGAMA ISLAM,PENDIDIKAN AGAMA KATHOLIK,PENDIDIKAN AGAMA KRISTEN,PENDIDIKAN KEWARGANEGARAAN,PENDIDIKAN PANCASILA,PENGANTAR TEKNOLOGI INTERNET DAN NEW MEDIA,PENGANTAR TEKNOLOGI KOMPUTER DAN INFORMATIKA,PENGANTAR WEB SCIENCE,PENGELOLAAN PROYEK PERANGKAT LUNAK,PENGOLAHAN CITRA,PENULISAN ILMIAH / KERJA PRAKTEK,PERANCANGAN DAN ANALISA ALGORITMA,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 1,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 2,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 3,PRAKTIKUM FISIKA DASAR,PRAKTIKUM KOMPUTASI BIG DATA,PRAKTIKUM ROBOTIKA CERDAS,PRAKTIKUM TEKNOLOGI KECERDASAN ARTIFISIAL,PRAKTIKUM TERAPAN TEORI GRAF,REKAYASA KOMPUTASIONAL,REKAYASA PERANGKAT LUNAK 1,REKAYASA PERANGKAT LUNAK 2,RISET OPERASIONAL,ROBOTIKA CERDAS,SISTEM BASIS DATA 1,SISTEM BASIS DATA 2,SISTEM BERKAS,SISTEM INFORMASI,SISTEM INFORMASI AKUNTANSI DAN KEUANGAN,SISTEM INFORMASI MANAJEMEN,SISTEM KEAMANAN KOMPUTER,SISTEM MULTIMEDIA,SISTEM OPERASI,SISTEM TERDISTRIBUSI,SKRIPSI / EVALUASI KOMPREHENSIF,STATISTIKA 1,STATISTIKA 2,STRUKTUR DATA,TEKNIK KOMPILASI,TEKNOLOGI GAME,TEKNOLOGI KECERDASAN ARTIFICIAL,TEORI BAHASA DAN OTOMATA,TERAPAN TEORI GRAF
Alumni003,3.3,Software Engineer,A,B,A,B,A,A,A,B,B,A,B,A,A,C,B,A,A,B,A,B,B,B,A,B,C,0,A,B,A,B,C,A,B,B,B,B,C,A,B,C,B,B,A,A,0,0,A,0,0,A,A,B,B,A,A,B,A,B,A,A,B,B,0,0,0,0,B,A,B,B,0,B,B,A,B,A,A,B,B,B,B,A,C,A,C,B,B,0,B,0
Alumni004,3.1,Data Engineer,B,B,B,B,C,B,B,C,B,A,B,B,B,B,B,B,B,B,B,A,C,A,B,A,B,0,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,0,0,B,0,0,B,B,C,B,B,B,C,A,B,C,B,B,B,0,0,0,0,B,B,B,B,0,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,A,0,B,0
Alumni006,3.29,IT Project Manager,B,B,A,B,A,B,B,B,B,B,B,A,A,A,B,A,A,B,B,A,B,B,B,B,A,0,A,A,B,A,B,B,A,B,B,B,A,B,B,B,B,B,B,B,0,0,B,0,0,B,B,A,B,A,A,B,A,B,B,B,B,B,0,0,0,0,B,B,B,A,0,B,B,B,B,A,B,A,B,B,B,A,A,B,B,B,A,0,B,0
Alumni007,3.25,Data Analyst,B,B,B,B,A,A,B,B,B,A,A,B,A,A,B,B,B,D,B,B,B,B,B,A,B,0,A,B,B,B,B,C,B,B,A,A,B,C,B,A,B,B,B,B,0,0,B,0,0,B,A,B,A,A,B,B,A,B,B,B,B,B,0,0,0,0,A,A,B,A,0,B,B,A,A,B,A,B,C,B,A,A,A,C,B,A,A,0,B,0
Alumni008,3.36,Network Engineer,B,B,A,B,B,A,B,A,C,A,C,A,B,A,A,A,B,B,A,A,C,A,A,B,B,0,B,A,B,C,A,A,B,A,B,B,A,B,B,B,C,B,A,B,0,0,B,0,0,A,A,A,B,B,B,B,A,A,C,B,B,B,0,0,0,0,B,A,B,A,0,A,A,A,B,A,B,B,C,B,C,A,B,A,B,B,A,0,B,0
Alumni009,3.67,Software Quality Assurance Engineer,C,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,0,B,0,A,A,A,B,A,B,A,A,A,B,A,B,A,B,0,A,0,0,A,0,0,A,A,A,A,A,A,B,A,A,B,B,A,A,0,0,0,0,C,A,B,B,0,A,B,A,B,A,A,B,B,A,0,A,A,B,A,A,A,0,B,0
Alumni010,3.87,Graphic Designer,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,0,A,0,A,A,A,B,A,B,A,A,A,A,A,A,A,A,0,A,0,0,A,0,0,A,A,A,A,A,A,B,A,A,A,A,A,A,0,0,0,0,A,A,B,A,0,A,A,A,A,A,A,A,A,A,0,A,A,A,A,A,A,0,A,0
Alumni011,3.38,Software Engineer,A,B,B,B,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,B,B,B,A,0,A,B,B,B,C,B,A,B,B,B,A,B,A,A,A,B,B,B,0,0,B,0,0,B,B,A,A,A,B,B,A,B,B,B,B,B,0,0,0,0,B,A,B,B,0,A,B,B,A,A,A,A,C,B,B,B,A,A,B,A,A,0,B,0
Alumni012,3.43,Software Developer,B,B,A,B,A,A,B,B,C,A,B,A,A,A,B,A,B,B,A,A,B,A,B,A,A,0,A,A,A,B,A,A,A,B,A,A,A,A,B,A,A,B,A,A,0,0,B,0,0,B,B,B,B,A,A,B,A,B,B,B,B,B,0,0,0,0,B,B,B,A,0,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,A,0,B,0
Alumni013,3.72,Software Developer,A,B,A,A,A,A,B,B,B,A,B,A,A,A,A,A,A,A,A,A,B,B,A,A,A,0,B,0,A,A,B,B,A,B,A,A,A,A,A,A,A,C,0,A,0,0,A,0,0,A,A,A,A,A,B,B,A,A,A,A,A,A,0,0,0,0,B,A,B,B,0,A,A,A,A,A,A,A,B,B,0,A,A,A,A,A,A,0,B,0
